Reach to Deadlock States:
----------------------------------------------------------------------
| No. | State       | Previous State | Transition           |
| 216 | (4, 6, 3, 5) | (4, 5, 3, 5) | t(2,6)               |
| 217 | (4, 7, 2, 4) | (3, 6, 1, 4) | t(3,2)               |
| 218 | (4, 7, 2, 5) | (3, 6, 2, 4) | t(4,5)               |
| 219 | (4, 7, 3, 4) | (4, 6, 3, 4) | t(2,7)               |
| 220 | (4, 7, 3, 5) | (4, 6, 3, 5) | t(2,7)               |
| 221 | (5, 6, 2, 4) | (4, 6, 1, 3) | t(4,4)               |
| 222 | (5, 6, 2, 5) | (4, 5, 1, 4) | t(4,5)               |
| 223 | (5, 6, 3, 4) | (4, 6, 2, 3) | t(4,4)               |
| 224 | (5, 7, 2, 4) | (4, 7, 1, 4) | t(3,2)               |
| 225 | (5, 7, 2, 5) | (4, 6, 1, 4) | t(4,5)               |
| 226 | (5, 7, 3, 4) | (5, 7, 2, 4) | t(3,3)               |
| 227 | (5, 7, 3, 5) | (4, 6, 2, 4) | t(4,5)               |
| 228 | (5, 7, 3, 0) | (4, 6, 2, 5) | t(4,0)               |
| 229 | (5, 7, 4, 5) | (4, 6, 3, 4) | t(4,5)               |
| 230 | (5, 8, 3, 5) | (4, 7, 2, 4) | t(4,5)               |
| 231 | (5, 8, 3, 0) | (4, 7, 2, 5) | t(4,0)               |
| 232 | (5, 8, 4, 5) | (4, 8, 4, 5) | t(1,5)               |
| 233 | (5, 8, 4, 0) | (5, 7, 4, 0) | t(2,8)               |
| 234 | (6, 7, 3, 5) | (5, 6, 2, 4) | t(4,5)               |
| 235 | (6, 7, 3, 0) | (5, 6, 2, 5) | t(4,0)               |
| 236 | (6, 7, 4, 5) | (5, 6, 3, 4) | t(4,5)               |
| 237 | (6, 8, 3, 5) | (5, 8, 2, 5) | t(3,3)               |
| 238 | (6, 8, 3, 0) | (5, 7, 2, 5) | t(4,0)               |
| 239 | (6, 8, 4, 5) | (5, 8, 3, 4) | t(4,5)               |
| 240 | (6, 8, 4, 0) | (5, 7, 3, 5) | t(4,0)               |
| 241 | (6, 8, 4, 1) | (5, 7, 3, 0) | t(4,1)               |
| 242 | (6, 8, 5, 0) | (5, 7, 4, 5) | t(4,0)               |
| 243 | (6, 0, 4, 0) | (5, 8, 3, 5) | t(4,0)               |
| 244 | (6, 0, 4, 1) | (5, 8, 3, 0) | t(4,1)               |
| 245 | (6, 0, 5, 0) | (5, 8, 4, 0) | t(3,5)               |
| 246 | (6, 0, 5, 1) | (5, 8, 4, 1) | t(3,5)               |
| 247 | (7, 8, 4, 0) | (6, 7, 3, 5) | t(4,0)               |
| 248 | (7, 8, 4, 1) | (6, 7, 3, 0) | t(4,1)               |
| 249 | (7, 8, 5, 0) | (6, 7, 4, 5) | t(4,0)               |
| 250 | (7, 0, 4, 0) | (6, 0, 3, 5) | t(4,0)               |
| 251 | (7, 0, 4, 1) | (6, 8, 3, 0) | t(4,1)               |
| 252 | (7, 0, 5, 0) | (6, 0, 5, 0) | t(1,7)               |
| 253 | (7, 0, 5, 1) | (6, 8, 4, 0) | t(4,1)               |
| 254 | (7, 0, 5, 2) | (6, 8, 4, 1) | t(4,2)               |
| 255 | (7, 0, 0, 1) | (6, 8, 5, 0) | t(4,1)               |
| 256 | (7, 1, 5, 1) | (6, 0, 4, 0) | t(4,1)               |
| 257 | (7, 1, 5, 2) | (6, 0, 4, 1) | t(4,2)               |
| 258 | (7, 1, 0, 1) | (7, 0, 0, 1) | t(2,1)               |
| 259 | (7, 1, 0, 2) | (6, 0, 0, 2) | t(2,1)               |
| 260 | (8, 0, 5, 1) | (7, 8, 4, 0) | t(4,1)               |
| 261 | (8, 0, 5, 2) | (7, 8, 5, 1) | t(4,2)               |
| 262 | (8, 0, 0, 1) | (7, 8, 5, 0) | t(4,1)               |
| 263 | (8, 1, 5, 1) | (8, 1, 4, 0) | t(4,1)               |
| 264 | (8, 1, 5, 2) | (7, 0, 4, 1) | t(4,2)               |
| 265 | (8, 1, 0, 1) | (7, 0, 0, 1) | t(2,1)               |
| 266 | (8, 1, 0, 2) | (7, 0, 5, 1) | t(4,2)               |
| 267 | (8, 1, 0, 3) | (7, 0, 5, 3) | t(3,0)               |
| 268 | (8, 1, 1, 2) | (7, 0, 0, 2) | t(3,1)               |
| 269 | (8, 2, 0, 2) | (7, 2, 5, 2) | t(3,0)               |
| 270 | (8, 2, 0, 3) | (7, 1, 5, 2) | t(4,3)               |
| 271 | (8, 2, 1, 2) | (7, 2, 0, 1) | t(4,2)               |
| 272 | (8, 2, 1, 3) | (7, 2, 0, 2) | t(4,3)               |
| 273 | (9, 1, 0, 2) | (8, 0, 5, 1) | t(4,2)               |
| 274 | (9, 1, 0, 3) | (8, 0, 0, 2) | t(4,3)               |
| 275 | (9, 1, 1, 2) | (8, 0, 0, 1) | t(4,2)               |
| 276 | (9, 2, 0, 2) | (8, 2, 0, 1) | t(4,2)               |
| 277 | (9, 2, 0, 3) | (8, 1, 5, 2) | t(4,3)               |
| 278 | (9, 2, 1, 2) | (8, 2, 0, 2) | t(3,1)               |
